Paper_No.,Mix_ID,Cement,Fly Ash,Silica Fume,Metakaolin,Nano Clay,Water,Fine Aggregate,Superplasticizer,VMA,Accelerator,Retarder,Fiber Type,Fiber Length (mm),Fiber Volume Fraction,Water/Binder Ratio,Open Time,Static Yield Stress,Dynamic Yield Stress,Plastic Viscosity,Rheometer,Printable,,,,,,,,
10,M4-6,579,165,83,0,0,232,1241,1,0,0,1,PP,12,0.16,0.28,0,980,NULL,NULL,Shear vane test,No,,,,,,,,
10,M4-7,579,165,83,0,0,232,1241,1,0,0,1.5,PP,12,0.16,0.28,0,1230,NULL,NULL,Shear vane test,No,,,,,,,,
10,M4-8,579,165,83,0,0,232,1241,1,0,0,2,PP,12,0.16,0.28,0,1480,NULL,NULL,Shear vane test,No,,,,,,,,
10,M4-9,579,165,83,0,0,232,1241,1,0,1,0,PP,12,0.16,0.28,0,680,NULL,NULL,Shear vane test,Yes,,,,,,,,
10,M4-10,579,165,83,0,0,232,1241,1,0,3,0,PP,12,0.16,0.28,0,1540,NULL,NULL,Shear vane test,No,,,,,,,,
10,M4-11,579,165,83,0,0,232,1241,1,0,5,0,PP,12,0.16,0.28,0,3200,NULL,NULL,Shear vane test,No,,,,,,,,
12,Mixture F,759,759,76,0,0,227.6,1092,0.08,0,0,0,NULL,0,0,NULL,0,1874,208.4,16.95,Viskomat XL,Yes,,,,,,,,
13,S/C 0.6 0m,1105.1,0,22.1,0,2,386.8,663.1,0.26,0,0,0,NULL,0,0,0.35,0,NULL,135,3.5,,No,,,,,,,,
13,S/C 0.6 15m,1105.1,0,22.1,0,2,386.8,663.1,0.26,0,0,0,NULL,0,0,0.35,15,NULL,155,3.52,,No,,,,,,,,
13,S/C 0.6 30m,1105.1,0,22.1,0,2,386.8,663.1,0.26,0,0,0,NULL,0,0,0.35,30,NULL,158,3.6,,No,,,,,,,,
13,S/C 0.8 0m,1003.4,0,20.1,0,2,351.2,802.7,0.26,0,0,0,NULL,0,0,0.35,0,NULL,178,3.81,,No,,,,,,,,
13,S/C 0.8 15m,1003.4,0,20.1,0,2,351.2,802.7,0.26,0,0,0,NULL,0,0,0.35,15,NULL,206,3.98,,Yes,,,,,,,,
13,S/C 1.0 0m,919.5,0,18.4,0,2,321.8,919.5,0.26,0,0,0,NULL,0,0,0.35,0,NULL,182,3.84,,Yes,,,,,,,,
13,S/C 1.0 15m,919.5,0,18.4,0,2,321.8,919.5,0.26,0,0,0,NULL,0,0,0.35,15,NULL,194,4.31,,Yes,,,,,,,,
13,S/C 1.2 0m,849.3,0,17,0,2,297.3,1019.2,0.26,0,0,0,NULL,0,0,0.35,0,NULL,310,4.14,,Yes,,,,,,,,
14,REF PP 1.2 0,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.13,0.502,0,1286,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,REF PP 1.2 15,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.13,0.502,15,1335,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,REF PP 1.2 30,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.13,0.502,30,1398,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,REF PP 1.2 45,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.13,0.502,45,1438,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,REF PP 1.2 60,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.13,0.502,60,1473,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,REF PP 1.2 75,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.13,0.502,75,1488,NULL,NULL,Shear vane test,No,,,,,,,,
14,REF PP 1.2 90,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.13,0.502,90,1495,NULL,NULL,Shear vane test,No,,,,,,,,
14,REF PP 2.4 0,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.26,0.502,0,1360,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,REF PP 2.4 15,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.26,0.502,15,1432,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,REF PP 2.4 30,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.26,0.502,30,1486,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,REF PP 2.4 45,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.26,0.502,45,1486,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,REF PP 2.4 60,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.26,0.502,60,1518,NULL,NULL,Shear vane test,No,,,,,,,,
14,REF PP 3.6,607,0,0,0,0,305,1230,0.022,0,0,0,PP,6,0.4,0.502,0,1507,NULL,NULL,Shear vane test,No,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 0,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,0,1334,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 15,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,15,1245,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 30,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,30,1262,NULL,NULL,Shear vane test,Yes,,,,,,,,
